Income,Age,Kidhome,Teenhome,marital_Single,marital_Divorced,marital_Widow,marital_Together,marital_Married,education_Basic,education_Graduation,education_Master,education_2n Cycle,education_PhD,Complain,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,AcceptedCmpOverall,MntWines,MntSweetProducts,MntFruits,MntMeatProducts,MntFishProducts,MntGoldProds,MntRegularProds,MntTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Customer_Days
55954.0,52,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,447,0,0,28,0,43,432,475,3,8,2,6,7,2277
75777.0,38,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,712,13,26,538,69,80,1278,1358,1,3,6,11,1,2519
66653.0,45,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,452,18,18,102,16,6,600,606,4,4,2,12,3,2819
61823.0,68,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,523,14,7,134,37,169,546,715,4,8,2,10,7,2655
67680.0,69,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,546,6,0,48,0,6,594,600,1,7,3,8,5,2542
70666.0,72,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,398,122,40,367,119,30,1016,1046,1,7,4,4,4,2364
25721.0,49,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6,3,6,3,15,4,19,1,1,1,2,7,2563
32474.0,53,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,11,11,1,1,0,2,7,2208
88194.0,41,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,688,24,14,309,201,38,1198,1236,1,11,10,10,5,2261
69096.0,62,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,247,82,49,159,7,109,435,544,1,5,2,10,4,2434
74854.0,50,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,856,29,59,487,58,73,1416,1489,7,2,5,5,5,2606
66991.0,66,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,496,60,36,460,189,12,1229,1241,3,4,8,6,3,2815
65031.0,61,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,258,37,107,291,84,86,691,777,4,10,3,13,7,2628
60631.0,45,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,565,6,6,65,0,19,623,642,5,9,2,8,7,2609
28332.0,68,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,15,10,13,4,9,47,56,1,2,1,4,2,2219
40246.0,43,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,2,1,11,12,1,1,0,2,6,2716
75251.0,48,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,721,18,111,925,97,18,1854,1872,1,7,6,5,5,2830
75825.0,44,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1032,105,105,779,137,51,2107,2158,0,5,8,9,4,2784
26326.0,44,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,5,0,9,0,9,1,0,0,3,3,2457
56046.0,55,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,577,0,0,64,0,51,590,641,2,10,1,8,8,2702
29760.0,35,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,5,4,68,7,17,131,148,4,3,1,4,8,2828
26304.0,51,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,2,4,8,12,1,1,0,2,7,2530
23559.0,47,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,5,19,7,23,33,56,3,3,0,3,7,2520
38620.0,57,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,112,22,17,44,34,89,140,229,1,2,5,3,3,2573
81361.0,33,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,163,65,23,424,27,76,626,702,1,3,10,13,1,2283
29440.0,60,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,4,8,14,10,3,50,53,2,1,0,4,7,2481
36138.0,50,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,130,0,0,16,0,5,141,146,5,3,1,4,7,2507
50388.0,63,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,292,3,6,37,0,34,304,338,4,6,1,6,7,2191
79593.0,47,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,350,133,60,568,110,145,1076,1221,1,5,6,7,2,2207
54178.0,53,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,135,0,9,39,4,7,180,187,1,2,2,5,2,2318
42394.0,48,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,1,2,10,0,4,24,28,1,1,0,3,7,2257
23626.0,50,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,2,14,0,0,43,43,3,3,1,3,5,2195
30096.0,37,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,3,11,12,9,27,36,1,2,0,3,6,2197
47916.0,60,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,505,0,0,26,0,75,456,531,5,7,4,6,6,2743
51813.0,48,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,1,2,7,0,2,59,61,2,2,0,3,7,2603
78497.0,69,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,207,0,26,447,75,223,532,755,1,5,7,12,2,2369
50150.0,37,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,135,61,46,92,65,11,388,399,2,5,2,7,5,2533
47823.0,60,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,1,1,5,2,10,52,62,2,2,0,3,8,2500
34554.0,61,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,0,1,6,2,5,45,50,2,2,0,3,6,2250
85693.0,41,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,386,132,172,183,185,111,947,1058,2,9,5,11,5,2594
65846.0,75,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,562,40,81,276,80,81,958,1039,1,6,3,6,4,2567
87195.0,61,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,217,26,76,690,50,38,1021,1059,1,3,11,5,1,2211
24594.0,41,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,10,9,11,20,1,1,0,3,5,2360
49096.0,56,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,144,1,1,32,2,7,173,180,4,4,1,4,7,2437
52413.0,51,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,295,98,106,271,75,65,780,845,4,6,4,12,6,2671
38557.0,42,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,76,4,3,31,4,27,91,118,2,3,1,3,7,2716
89058.0,60,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,454,22,194,106,31,43,764,807,1,5,4,4,2,2728
77298.0,41,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,425,35,115,292,23,79,811,890,1,6,6,11,3,2398
68126.0,29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1332,51,17,311,23,86,1648,1734,1,7,4,5,9,2755
57288.0,57,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,527,0,0,21,0,60,488,548,3,8,1,8,6,2163
86037.0,29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,490,20,44,125,29,22,686,708,1,6,7,11,3,2702
43974.0,40,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,378,0,0,101,0,72,407,479,5,6,4,6,7,2723
50785.0,58,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,1,1,21,0,27,60,87,2,2,1,3,6,2451
90765.0,50,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,547,82,99,812,151,33,1658,1691,0,4,6,5,1,2315
36550.0,42,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,47,103,90,94,123,120,337,457,5,9,1,5,9,2654
30753.0,53,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,9,5,25,0,30,21,51,2,1,1,3,5,2512
21918.0,51,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,11,3,27,30,2,2,0,3,6,2386
56129.0,67,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,320,72,48,133,39,48,564,612,4,6,2,10,4,2533
32557.0,53,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,34,4,3,29,0,10,60,70,3,2,1,3,5,2284
19510.0,35,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,4,0,7,3,7,16,23,2,1,0,3,7,2457
30992.0,44,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,3,0,14,7,2,39,41,1,1,0,3,7,2592
101970.0,37,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,3,722,72,27,102,44,168,799,967,0,6,8,13,2,2633
71488.0,55,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,162,28,33,124,40,172,215,387,2,3,4,7,1,2655
79607.0,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,450,0,133,951,173,216,1491,1707,1,3,6,6,1,2593
54348.0,67,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,16,0,4,82,86,2,2,0,4,6,2180
77376.0,64,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,492,12,19,110,16,12,637,649,4,6,3,10,4,2209
62998.0,68,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,120,89,58,73,65,58,347,405,5,5,4,5,5,2431
61331.0,62,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,534,5,5,47,0,41,550,591,5,11,1,6,8,2635
73448.0,51,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,236,41,106,189,23,130,465,595,1,7,2,9,4,2298
41551.0,56,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,220,0,0,33,3,23,233,256,5,5,1,5,8,2478
62981.0,53,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,796,44,14,590,38,0,1482,1482,1,4,5,13,3,2628
9548.0,44,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,10,9,11,20,2,1,0,3,8,2849
33762.0,61,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,53,0,1,34,2,16,74,90,3,2,2,2,8,2516
35860.0,47,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,15,2,0,8,4,20,9,29,2,1,1,2,5,2200
36921.0,55,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1,1,12,3,4,30,34,2,2,0,3,7,2495
92859.0,28,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,962,61,61,921,52,20,2037,2057,1,5,4,12,2,2777
65104.0,44,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,738,20,0,232,13,50,953,1003,2,3,5,7,7,2386
86111.0,58,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,399,40,28,756,36,126,1133,1259,1,5,7,10,2,2595
68352.0,46,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,614,33,16,132,43,33,805,838,3,8,5,9,6,2464
41883.0,32,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,16,34,41,73,116,80,196,3,4,2,3,7,2626
59809.0,44,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,598,41,16,141,32,49,779,828,3,3,3,6,8,2778
23957.0,45,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,11,1,18,20,16,36,52,1,2,0,3,6,2768
38547.0,39,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,1,1,10,0,4,14,18,1,1,0,2,8,2464
35688.0,47,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,73,1,3,90,12,32,147,179,7,4,1,4,8,2835
49605.0,54,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,42,20,16,29,12,8,111,119,1,2,1,4,3,2167
59354.0,67,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,295,13,21,78,39,13,433,446,1,4,4,7,3,2225
65747.0,51,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,346,13,17,48,23,13,434,447,4,8,1,6,6,2273
46344.0,48,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,233,20,20,57,8,91,247,338,4,7,1,5,7,2721
34176.0,32,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,14,7,24,19,20,49,69,4,3,0,4,6,2207
61010.0,68,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,888,0,0,57,0,76,869,945,2,8,5,11,5,2787
69372.0,71,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2,997,13,26,269,34,42,1297,1339,1,10,4,6,4,2654
49967.0,62,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,212,12,6,69,4,3,300,303,3,6,1,5,7,2515
60199.0,42,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1,7,2,0,18,18,1,0,0,3,4,2449
55375.0,43,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,28,11,57,10,14,134,148,1,1,1,6,2,2414
80317.0,65,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,536,91,11,387,149,57,1117,1174,1,3,4,10,1,2472
30523.0,62,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,3,8,1,1,0,2,7,2522
70356.0,75,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1349,16,16,249,43,33,1640,1673,2,10,6,9,6,2760
23228.0,36,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,53,4,3,49,7,5,111,116,4,3,0,4,8,2334
74165.0,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1001,12,12,240,16,12,1269,1281,1,5,4,10,2,2583
43482.0,54,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,3,1,32,6,28,32,60,3,2,0,4,6,2387
62551.0,67,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,125,21,16,98,134,27,367,394,1,6,7,4,3,2382
52332.0,61,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,212,0,5,33,7,2,255,257,1,3,2,6,4,2464
66951.0,32,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,277,76,162,305,173,124,869,993,1,3,4,7,1,2398
26091.0,63,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,17,10,19,8,20,49,69,3,2,1,3,5,2283
33456.0,55,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,3,10,8,7,22,29,2,1,0,3,7,2228
28718.0,38,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,8,4,6,11,16,25,41,2,2,0,3,8,2510
50447.0,50,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,85,3,7,24,2,27,94,121,1,3,1,3,6,2228
53537.0,61,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,0,0,6,0,6,81,87,2,2,1,3,5,2309
52074.0,53,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,59,0,0,12,0,48,23,71,1,2,2,2,4,2245
80427.0,45,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1149,71,71,449,69,26,1783,1809,1,11,8,8,5,2814
83837.0,72,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,2,847,89,66,119,86,111,1096,1207,1,9,10,5,4,2719
38853.0,50,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,14,0,2,41,43,2,2,0,3,7,2196
38285.0,61,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,2,1,8,9,1,0,0,3,2,2164
78497.0,69,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,207,0,26,447,75,223,532,755,1,5,7,12,2,2369
51650.0,44,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,152,5,3,22,2,7,177,184,1,4,1,4,5,2208
16248.0,32,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,12,11,10,3,9,39,48,3,2,1,3,6,2209
66835.0,74,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,620,17,26,195,34,141,751,892,1,6,4,13,2,2433
30477.0,36,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0,1,6,0,12,42,54,1,1,1,3,6,2317
28249.0,59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,9,7,2,10,23,33,1,2,0,3,6,2173
25271.0,37,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,4,1,18,10,7,36,43,1,1,1,2,9,2730
32303.0,50,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0,2,0,2,35,37,2,1,0,4,5,2272
61286.0,54,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,356,9,0,107,19,117,374,491,2,7,1,8,5,2490
